subj_id,category,RT
S001,ingroup,355.276628228464
S001,ingroup,771.5181812191248
S001,ingroup,676.4824142096846
S001,ingroup,1203.6408392822816
S001,ingroup,670.1847131613083
S001,ingroup,637.7391107873243
S001,ingroup,528.6475948316846
S001,ingroup,742.37555736079
S001,ingroup,586.3203221430938
S001,ingroup,968.9461829424729
S001,ingroup,1028.091386498815
S001,ingroup,1055.537353831809
S001,ingroup,957.7110650520847
S001,ingroup,789.4146909338917
S001,ingroup,1035.4303089607279
S001,ingroup,995.8019673619781
S001,ingroup,615.5019543491143
S001,ingroup,652.1000257136543
S001,ingroup,697.9258701113758
S001,ingroup,1229.9269804793191
S001,ingroup,162.32594727095392
S001,ingroup,918.7248936263102
S001,ingroup,1044.8826786727645
S001,ingroup,991.3544190720731
S001,ingroup,535.076843967315
S001,outgroup,657.0636837768031
S001,outgroup,1005.5407630082592
S001,outgroup,713.1744281295965
S001,outgroup,1278.4119857972398
S001,outgroup,1111.766002556202
S001,outgroup,1130.311295993086
S001,outgroup,1209.259573893088
S001,outgroup,806.0309201958478
S001,outgroup,1014.1632129426557
S001,outgroup,559.6620201285953
S001,outgroup,1266.6086874811149
S001,outgroup,929.6066481480234
S001,outgroup,937.9070121907287
S001,outgroup,651.9582782373205
S001,outgroup,1051.0296536037354
S001,outgroup,1073.5148668388592
S001,outgroup,1475.930460061707
S001,outgroup,963.4178327798966
S001,outgroup,852.3832571535123
S001,outgroup,749.7241531087143
S001,outgroup,986.6643200019073
S001,outgroup,927.515686058249
S001,outgroup,1113.8639123486853
S001,outgroup,948.40416074917
S001,outgroup,852.7481819176154
S002,ingroup,582.2887297254143
S002,ingroup,804.6786325842088
S002,ingroup,563.0452117626916
S002,ingroup,747.4406615033631
S002,ingroup,187.48682160151827
S002,ingroup,859.0089519961809
S002,ingroup,645.8841326242798
S002,ingroup,349.06911759808406
S002,ingroup,439.22237464003035
S002,ingroup,497.4622680232143
S002,ingroup,810.2720788972741
S002,ingroup,647.0612135325192
S002,ingroup,286.85814290234407
S002,ingroup,702.5079466435365
S002,ingroup,413.3812930374529
S002,ingroup,687.5834693656998
S002,ingroup,257.49590052439225
S002,ingroup,744.2703012075667
S002,ingroup,837.234014798935
S002,ingroup,685.5380750245599
S002,ingroup,143.7744147173567
S002,ingroup,668.3366867087885
S002,ingroup,429.81943409546443
S002,ingroup,980.5860274402157
S002,ingroup,264.15343737276925
S002,outgroup,545.5755880162611
